year	month	day	max_wind_gust	xwser	avg_wind_speed	awser	avg_wind_dir	awder	sol_rad	soler	max_air_temp	xater	min_air_temp	nater	avg_air_temp	aater	max_rel_hum	xrher	min_rel_hum	nrher	avg_rel_hum	arher	avg_dewpt_temp	adper	precip	pcer	pot_evapot	pevaper	max_soiltemp_4in_sod	xst4soder	min_soiltemp_4in_sod	nst4soder	avg_soiltemp_4in_sod	ast4soder	max_soiltemp_8in_sod	xst8soder	min_soiltemp_8in_sod	nst8soder	avg_soiltemp_8in_sod	ast8soder	max_soiltemp_4in_bare	xst4bareer	min_soiltemp_4in_bare	nst4bareer	avg_soiltemp_4in_bare	ast4bareer	max_soiltemp_2in_bare	xst2bareer	min_soiltemp_2in_bare	nst2bareer	avg_soiltemp_2in_bare	ast2bareer	SM5	SM10	SM20	SM50	SM100	SM150	site	daily
			mph		mph		deg		MJ/m*m		degF		degF		degF		%		%		%		degF		in		in		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF									
2003	2	18	16.9	 	8.9	 	212.1	 	5.94	 	35.1	 	25.6	 	30.4	 	94.1	 	91.4	 	92.6	 	28.4	 	0	 	0.03	 	31.6	 	31.2	 	31.5	 	32.7	 	32.7	 	32.7	 													0.17826087	0.24826087	0.382173913	0.32826087	0.37	0.30826087	cmi	2/18/2003
2003	2	19	15.2	 	4.2	 	328.6	 	13.09	 	37.7	 	25.6	 	33.6	 	95.5	 	59.3	 	82.2	 	28.6	 	0	 	0.07	 	31.8	 	31.6	 	31.6	 	32.8	 	32.7	 	32.7	 													0.184166667	0.282916667	0.382916667	0.324583333	0.367916667	0.30625	cmi	2/19/2003
2003	2	20	12.2	 	2.4	 	173.7	 	17.16	 	47.4	 	22.3	 	33.8	 	95.3	 	53	 	83.3	 	28.8	 	0	 	0.1	 	31.8	 	31.2	 	31.6	 	32.9	 	32.8	 	32.9	 													0.165833333	0.298333333	0.384166667	0.32625	0.369166667	0.309166667	cmi	2/20/2003
2003	2	21	9.5	 	2.1	 	74.6	 	5.55	 	41.8	 	27.9	 	35.2	 	96.1	 	88.4	 	93.1	 	33.4	 	0	 	0.03	 	31.8	 	31.7	 	31.8	 	32.9	 	32.8	 	32.9	 													0.161666667	0.263333333	0.384166667	0.325416667	0.368333333	0.308333333	cmi	2/21/2003
2003	2	22	31	 	12	 	5.3	 	2.06	 	36.8	 	26.6	 	33.3	 	96.7	 	74.5	 	92	 	31.3	 	0.14	 	0.01	 	31.9	 	31.8	 	31.8	 	32.9	 	32.9	 	32.9	 													0.202916667	0.292916667	0.384583333	0.32625	0.3675	0.307083333	cmi	2/22/2003
2003	2	23	21.4	 	6.2	 	358.6	 	15.47	 	28.4	 	18.9	 	25	 	91.9	 	63.4	 	73.7	 	17.6	 	0	 	0.07	 	31.9	 	31.9	 	31.8	 	33	 	32.9	 	32.9	 													0.1925	0.307083333	0.387083333	0.328333333	0.369583333	0.312916667	cmi	2/23/2003
2003	2	24	21.7	 	7	 	302.6	 	10.75	 	24.4	 	6.7	 	18.7	 	92.5	 	64.2	 	79.7	 	13.5	 	0.06	 	0.04	 	31.9	 	31.9	 	32	 	33.1	 	33	 	33.1	 													0.229166667	0.317083333	0.387083333	0.32625	0.367083333	0.311666667	cmi	2/24/2003
2003	2	25	13	 	3.2	 	37.7	 	17.21	 	18.7	 	3.3	 	11.8	 	76.5	 	50.7	 	65.1	 	2.3	 	0	 	0.06	 	31.9	 	31.9	 	31.8	 	33.2	 	33.1	 	33.1	 													0.182916667	0.320833333	0.387083333	0.327083333	0.369166667	0.31375	cmi	2/25/2003
2003	2	26	8.7	 	2.3	 	95.2	 	11.14	 	28.3	 	17.2	 	22.3	 	85.3	 	51	 	71.7	 	14.2	 	0.01	 	0.05	 	31.9	 	31.9	 	31.8	 	33.3	 	33.2	 	33.3	 													0.18	0.32375	0.386666667	0.329583333	0.369583333	0.31375	cmi	2/26/2003
2003	2	27	12.7	 	3.8	 	48.4	 	8.05	 	31.7	 	17.5	 	25.7	 	85	 	52.3	 	68	 	16.3	 	0	 	0.04	 	31.9	 	31.8	 	31.8	 	33.3	 	33.3	 	33.3	 													0.167083333	0.309166667	0.387916667	0.32875	0.369166667	0.311666667	cmi	2/27/2003
2003	2	28	8.7	 	2.3	 	79.6	 	15.63	 	39.9	 	22.6	 	32	 	87.4	 	41.9	 	67.5	 	21.9	 	0	 	0.08	 	31.9	 	31.8	 	31.8	 	33.4	 	33.3	 	33.3	 													0.283333333	0.3125	0.3875	0.327083333	0.3675	0.310833333	cmi	2/28/2003
2003	3	1	11.7	 	3.4	 	214.4	 	3.14	 	35.7	 	30.5	 	33.1	 	95.9	 	86.2	 	93	 	31.3	 	0.09	 	0.02	 	31.9	 	31.9	 	32	 	33.4	 	33.3	 	33.4	 													0.42	0.335	0.387083333	0.32625	0.3675	0.312083333	cmi	3/1/2003
2003	3	2	19.6	 	6	 	320.9	 	2.56	 	33.8	 	19.7	 	29.3	 	96	 	82.7	 	89.9	 	26.6	 	0.02	 	0.01	 	32	 	31.9	 	32	 	33.5	 	33.4	 	33.4	 													0.418333333	0.345416667	0.392916667	0.332083333	0.369166667	0.3125	cmi	3/2/2003
2003	3	3	22.2	 	7.7	 	167	 	13.58	 	36	 	18	 	27	 	87.1	 	67	 	81.8	 	22.3	 	0.01	 	0.06	 	32.1	 	32	 	32	 	33.6	 	33.5	 	33.6	 													0.355	0.342916667	0.39125	0.330833333	0.36875	0.31375	cmi	3/3/2003
2003	3	4	13.8	 	5.2	 	193.3	 	8.29	 	46.6	 	32	 	39.7	 	93.9	 	80	 	88.4	 	36.5	 	0.06	 	0.05	 	34.8	 	32.1	 	32.9	 	35.1	 	33.6	 	34	 													0.358333333	0.345	0.392083333	0.332083333	0.36875	0.314166667	cmi	3/4/2003
2003	3	5	21.5	 	7.6	 	20.1	 	9.12	 	34.4	 	22.4	 	26.8	 	94.5	 	76.4	 	86.6	 	23.4	 	0.17	 	0.04	 	34.8	 	33.4	 	34	 	35.3	 	34.8	 	35.1	 													0.362083333	0.355	0.395416667	0.33375	0.369583333	0.315416667	cmi	3/5/2003
2003	3	6	18.9	 	5.5	 	76.1	 	19.27	 	35.3	 	20	 	27.1	 	91.8	 	62	 	81.5	 	22.1	 	0.01	 	0.09	 	38.9	 	32.9	 	34.9	 	37.2	 	34.5	 	35.4	 													0.334166667	0.341666667	0.392916667	0.331666667	0.369166667	0.317083333	cmi	3/6/2003
2003	3	7	17.7	 	6.1	 	201.2	 	14.34	 	47.6	 	27.5	 	35.8	 	95	 	73.1	 	88	 	32.5	 	0	 	0.08	 	40.1	 	33.4	 	36.1	 	38.3	 	35.2	 	36.5	 													0.327916667	0.337916667	0.392083333	0.330833333	0.369583333	0.317083333	cmi	3/7/2003
