year	month	day	max_wind_gust	xwser	avg_wind_speed	awser	avg_wind_dir	awder	sol_rad	soler	max_air_temp	xater	min_air_temp	nater	avg_air_temp	aater	max_rel_hum	xrher	min_rel_hum	nrher	avg_rel_hum	arher	avg_dewpt_temp	adper	precip	pcer	pot_evapot	pevaper	max_soiltemp_4in_sod	xst4soder	min_soiltemp_4in_sod	nst4soder	avg_soiltemp_4in_sod	ast4soder	max_soiltemp_8in_sod	xst8soder	min_soiltemp_8in_sod	nst8soder	avg_soiltemp_8in_sod	ast8soder	max_soiltemp_4in_bare	xst4bareer	min_soiltemp_4in_bare	nst4bareer	avg_soiltemp_4in_bare	ast4bareer	max_soiltemp_2in_bare	xst2bareer	min_soiltemp_2in_bare	nst2bareer	avg_soiltemp_2in_bare	ast2bareer	SM5	SM10	SM20	SM50	SM100	SM150	site	daily
			mph		mph		deg		MJ/m*m		degF		degF		degF		%		%		%		degF		in		in		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF									
2003	2	27	16.8	 	4.8	 	66.8	 	14.34	 	35	 	14.8	 	25.7	 	87.6	 	42.9	 	64.1	 	14.7	 	0	 	0.07	 	31.1	 	28.7	 	30.2	 	31.5	 	31.1	 	31.3	 													0.18826087	0.204347826	0.357826087	0.420434783	0.45	0.434782609	icc	2/27/2003
2003	2	28	8.8	 	2.4	 	89.6	 	12	 	39	 	19.1	 	30	 	89.9	 	28.9	 	61.7	 	17.4	 	0	 	0.06	 	31.4	 	30.9	 	31.1	 	31.6	 	31.4	 	31.5	 													0.20125	0.214166667	0.355416667	0.420833333	0.45	0.432083333	icc	2/28/2003
2003	3	1	13.3	 	4.3	 	217.7	 	3.87	 	34	 	27.1	 	31.1	 	98.5	 	69.5	 	87.8	 	27.9	 	0	 	0.02	 	31.5	 	31.3	 	31.5	 	31.7	 	31.5	 	31.6	 													0.215416667	0.224166667	0.3575	0.420416667	0.450416667	0.43375	icc	3/1/2003
2003	3	2	23	 	8.6	 	309.5	 	6.16	 	32	 	15.5	 	27	 	97.6	 	36	 	69.5	 	17.4	 	0.01	 	0.03	 	31.5	 	31.4	 	31.5	 	31.7	 	31.6	 	31.6	 													0.226666667	0.237083333	0.36	0.420833333	0.45	0.432916667	icc	3/2/2003
2003	3	3	22.9	 	8.7	 	172.3	 	7.23	 	35.8	 	12.5	 	25.2	 	88.8	 	46.3	 	74.5	 	17.8	 	0	 	0.03	 	31.6	 	29.7	 	30.7	 	31.7	 	31.6	 	31.6	 													0.191666667	0.215833333	0.36	0.420416667	0.45	0.432083333	icc	3/3/2003
2003	3	4	23.8	 	6.9	 	40.2	 	4.49	 	36.9	 	20.9	 	32.5	 	95.4	 	74.8	 	87	 	28.9	 	0.1	 	0.02	 	31.4	 	31.1	 	31.3	 	31.7	 	31.6	 	31.6	 													0.20375	0.222083333	0.36	0.420416667	0.45	0.4325	icc	3/4/2003
2003	3	5	23.6	 	8.5	 	11.4	 	14.28	 	28.2	 	15	 	20.7	 	91	 	60.3	 	76.3	 	14.4	 	0.02	 	0.06	 	31.5	 	31.3	 	31.5	 	31.8	 	31.6	 	31.6	 													0.219166667	0.2325	0.36	0.42125	0.45	0.434166667	icc	3/5/2003
2003	3	6	22.2	 	8	 	123.6	 	16.8	 	32	 	15	 	24.6	 	85.9	 	63.5	 	75.9	 	18.1	 	0	 	0.08	 	31.5	 	31	 	31.3	 	31.8	 	31.7	 	31.8	 													0.208333333	0.23	0.36	0.42	0.450416667	0.431666667	icc	3/6/2003
2003	3	7	23.9	 	8.5	 	212	 	15.81	 	42.6	 	26.8	 	33.3	 	94.3	 	67.8	 	83.4	 	28.6	 	0	 	0.09	 	31.5	 	31.2	 	31.5	 	31.8	 	31.7	 	31.8	 													0.222916667	0.235416667	0.36	0.420833333	0.45	0.43125	icc	3/7/2003
2003	3	8	25.3	 	9.9	 	315.2	 	7.33	 	49.5	 	17.2	 	33.8	 	94.5	 	69.6	 	84.8	 	29.5	 	0	 	0.04	 	31.6	 	31.4	 	31.6	 	31.8	 	31.7	 	31.8	 													0.238333333	0.246666667	0.36	0.42	0.45	0.430416667	icc	3/8/2003
2003	3	9	24	 	11.7	 	311.3	 	18.78	 	20.2	 	6.9	 	13.3	 	75.3	 	34.5	 	53.7	 	-0.8	 	0	 	0.07	 	31.7	 	30.8	 	31.6	 	31.9	 	31.7	 	31.8	 													0.235833333	0.25375	0.361666667	0.42	0.45	0.432083333	icc	3/9/2003
2003	3	10	16.9	 	5.6	 	297.2	 	17.72	 	26.1	 	7.9	 	16.9	 	72.6	 	40.6	 	53.4	 	2.7	 	0	 	0.07	 	31.1	 	27.6	 	29.8	 	31.9	 	31.6	 	31.8	 													0.18625	0.206666667	0.363333333	0.42	0.45	0.430416667	icc	3/10/2003
2003	3	11	31.9	 	9.5	 	200.4	 	17.25	 	47.9	 	17.2	 	33.8	 	81.9	 	39.3	 	60.7	 	21	 	0	 	0.1	 	31.4	 	29.6	 	30.7	 	31.7	 	31.5	 	31.6	 													0.19375	0.211666667	0.36	0.42	0.45	0.43125	icc	3/11/2003
2003	3	12	22.2	 	6.8	 	107.4	 	16.43	 	61.8	 	34	 	47.1	 	92.3	 	55.6	 	75.4	 	39.6	 	0	 	0.12	 	32.5	 	31.3	 	31.8	 	31.8	 	31.6	 	31.6	 													0.287916667	0.23125	0.36	0.42	0.45	0.430833333	icc	3/12/2003
2003	3	13	23.3	 	9.1	 	40.8	 	10.62	 	42.4	 	28.3	 	35.2	 	93.5	 	68	 	83.8	 	30.7	 	0	 	0.06	 	34.1	 	31.7	 	32.4	 	31.9	 	31.7	 	31.8	 													0.419166667	0.257916667	0.36	0.42	0.45	0.430833333	icc	3/13/2003
2003	3	14	15.2	 	6.6	 	162.6	 	19.35	 	57.4	 	25.3	 	40.8	 	95.5	 	46.9	 	76.1	 	33.1	 	0	 	0.12	 	38.2	 	31.6	 	33.8	 	32.1	 	31.7	 	31.8	 													0.417916667	0.313333333	0.36	0.42	0.45	0.430416667	icc	3/14/2003
2003	3	15	17.7	 	7.3	 	177.2	 	9.71	 	51.7	 	35.9	 	43	 	100	 	81.4	 	94.4	 	41.4	 	0	 	0.06	 	41.3	 	33.1	 	36.5	 	37.4	 	32	 	34.3	 													0.419583333	0.37875	0.370833333	0.42	0.45	0.430416667	icc	3/15/2003
2003	3	16	18.2	 	7.6	 	178.4	 	14.97	 	70.9	 	40.1	 	55.4	 	100	 	55	 	82.2	 	49.3	 	0	 	0.12	 	48.8	 	36.9	 	42.4	 	42.8	 	36.7	 	39	 													0.408333333	0.38	0.38125	0.420416667	0.45	0.430833333	icc	3/16/2003
2003	3	17	13.7	 	5.2	 	138	 	17.23	 	73.4	 	46.9	 	59.2	 	100	 	46.4	 	78.5	 	51.6	 	0	 	0.14	 	53.7	 	41.6	 	47.5	 	47	 	41.3	 	43.7	 													0.413333333	0.381666667	0.385833333	0.423333333	0.45	0.43	icc	3/17/2003
2003	3	18	29.9	 	13.3	 	64.4	 	16.16	 	67.9	 	45.9	 	54.1	 	93.4	 	60.9	 	81.1	 	48.2	 	0	 	0.13	 	53.9	 	46.7	 	49.8	 	48.6	 	45.5	 	46.9	 													0.409583333	0.382916667	0.38875	0.429583333	0.45	0.43	icc	3/18/2003
2003	3	19	32.9	 	13.4	 	77.7	 	4.14	 	53.3	 	41.3	 	46.9	 	98.5	 	78.6	 	93.4	 	45	 	0.84	 	0.03	 	48.5	 	45.1	 	46.6	 	47.9	 	45.3	 	46	 													0.418333333	0.389166667	0.39875	0.430833333	0.45	0.43125	icc	3/19/2003
2003	3	20	22.1	 	5.8	 	11	 	13.86	 	67.5	 	45	 	54	 	99.4	 	51.5	 	83.5	 	48.7	 	0.42	 	0.11	 	53.9	 	44.2	 	48.7	 	49.3	 	44.7	 	46.6	 													0.433333333	0.401666667	0.40125	0.439583333	0.45	0.430833333	icc	3/20/2003
2003	3	21	31.5	 	13.1	 	288.1	 	17.36	 	48.7	 	36.2	 	43.9	 	98.1	 	48.4	 	71.6	 	34.7	 	0	 	0.11	 	50.5	 	45	 	47.7	 	49.2	 	46.4	 	47.5	 													0.429166667	0.399166667	0.402083333	0.44	0.456666667	0.432916667	icc	3/21/2003
