year	month	day	max_wind_gust	xwser	avg_wind_speed	awser	avg_wind_dir	awder	sol_rad	soler	max_air_temp	xater	min_air_temp	nater	avg_air_temp	aater	max_rel_hum	xrher	min_rel_hum	nrher	avg_rel_hum	arher	avg_dewpt_temp	adper	precip	pcer	pot_evapot	pevaper	max_soiltemp_4in_sod	xst4soder	min_soiltemp_4in_sod	nst4soder	avg_soiltemp_4in_sod	ast4soder	max_soiltemp_8in_sod	xst8soder	min_soiltemp_8in_sod	nst8soder	avg_soiltemp_8in_sod	ast8soder	max_soiltemp_4in_bare	xst4bareer	min_soiltemp_4in_bare	nst4bareer	avg_soiltemp_4in_bare	ast4bareer	max_soiltemp_2in_bare	xst2bareer	min_soiltemp_2in_bare	nst2bareer	avg_soiltemp_2in_bare	ast2bareer	SM5	SM10	SM20	SM50	SM100	SM150	site	daily
			mph		mph		deg		MJ/m*m		degF		degF		degF		%		%		%		degF		in		in		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF									
2003	2	18	16	 	6.1	 	198.4	 	13.35	 	44.1	 	27.1	 	35.4	 	91.8	 	62.8	 	82.3	 	30.6	 	0	 	0.07	 	35.6	 	35.4	 	35.4	 	36.4	 	36.1	 	36.3	 													0.502173913	0.43	0.412608696	0.435217391	0.457826087	0.451304348	siu	2/18/2003
2003	2	19	12.3	 	3.7	 	36.6	 	5.26	 	40.6	 	34.7	 	37	 	97.3	 	85	 	93.7	 	35.2	 	0.8	 	0.03	 	35.7	 	35.2	 	35.4	 	36.2	 	35.7	 	36	 													0.51	0.43	0.42	0.43375	0.457083333	0.45125	siu	2/19/2003
2003	2	20	13.3	 	5.7	 	74.4	 	14.97	 	46.9	 	31.6	 	37.8	 	95.1	 	66.8	 	84.4	 	33.3	 	0	 	0.09	 	39.8	 	35.4	 	37.2	 	38.9	 	36	 	37	 													0.51	0.43	0.421666667	0.433333333	0.452083333	0.452083333	siu	2/20/2003
2003	2	21	15.8	 	4.1	 	55.3	 	4.05	 	46.5	 	36.7	 	40.1	 	96.9	 	87.5	 	93.4	 	38.3	 	0.18	 	0.02	 	41	 	38.5	 	39.6	 	40.4	 	38.8	 	39.4	 													0.51	0.43	0.420416667	0.435833333	0.458333333	0.450416667	siu	2/21/2003
2003	2	22	31.4	 	11.8	 	334.4	 	1.35	 	40.7	 	33	 	36.7	 	97.4	 	79	 	92.9	 	34.7	 	0.83	 	0.01	 	40.5	 	38.1	 	39.6	 	40.4	 	39	 	39.9	 													0.51	0.43	0.422916667	0.44	0.44875	0.450416667	siu	2/22/2003
2003	2	23	21.8	 	6.8	 	17.9	 	5.23	 	35.2	 	30	 	32.9	 	96.8	 	68.5	 	81.8	 	27.7	 	0.2	 	0.03	 	39.1	 	37.3	 	38.1	 	39.2	 	38.2	 	38.7	 													0.51	0.43	0.436666667	0.44	0.45125	0.451666667	siu	2/23/2003
2003	2	24	20.4	 	8.5	 	328.4	 	9.32	 	30.2	 	17	 	24.3	 	96.8	 	57.1	 	74.2	 	17.1	 	0.09	 	0.04	 	38	 	35.1	 	36.3	 	38.8	 	37.6	 	38.1	 													0.51	0.43	0.445833333	0.44	0.459583333	0.45125	siu	2/24/2003
2003	2	25	18.1	 	7.5	 	23.4	 	15.95	 	19.5	 	10.7	 	16	 	68	 	46	 	58.5	 	3.9	 	0	 	0.06	 	35.1	 	34.6	 	34.7	 	37.7	 	36.8	 	37.2	 													0.51	0.43125	0.45	0.44	0.4525	0.450416667	siu	2/25/2003
2003	2	26	11	 	5	 	27	 	5.39	 	26.5	 	18.5	 	23	 	87.5	 	61.6	 	76.5	 	16.5	 	0	 	0.02	 	34.9	 	34.5	 	34.7	 	36.9	 	36.6	 	36.7	 													0.51	0.4325	0.4575	0.44	0.450833333	0.45125	siu	2/26/2003
2003	2	27	11.8	 	5.5	 	7.5	 	4.03	 	32.1	 	26.2	 	29.5	 	95.8	 	75.5	 	86.6	 	25.9	 	0	 	0.02	 	35.5	 	34.7	 	35.1	 	36.8	 	36.6	 	36.7	 													0.51	0.439166667	0.46	0.44	0.453333333	0.45125	siu	2/27/2003
2003	2	28	6.8	 	2.3	 	358.5	 	7.9	 	36.4	 	28.9	 	32.4	 	95.3	 	74.7	 	87.6	 	28.9	 	0	 	0.04	 	36.5	 	35.3	 	36	 	36.9	 	36.6	 	36.9	 													0.514583333	0.44	0.461666667	0.44	0.452916667	0.450416667	siu	2/28/2003
2003	3	1	10.4	 	2.2	 	192.5	 	5.49	 	43.3	 	33.8	 	37.6	 	95.3	 	70.5	 	87	 	34	 	0.01	 	0.03	 	38.6	 	36.1	 	37.2	 	37.9	 	36.7	 	37	 													0.5175	0.44	0.462916667	0.44	0.460416667	0.4525	siu	3/1/2003
2003	3	2	19.2	 	7.3	 	320.3	 	4.73	 	39.2	 	25.8	 	34.9	 	89.3	 	58.2	 	77.1	 	28.2	 	0.02	 	0.03	 	38.6	 	36.8	 	37.9	 	38.5	 	37.8	 	38.1	 													0.515833333	0.44	0.469583333	0.44	0.460416667	0.450416667	siu	3/2/2003
2003	3	3	18.9	 	5.1	 	174.5	 	19.72	 	46.2	 	18.2	 	33.3	 	92.2	 	45.9	 	69.7	 	23.9	 	0.01	 	0.11	 	39.7	 	34.8	 	37	 	38.6	 	36.4	 	37.4	 													0.510833333	0.44	0.469583333	0.44	0.46	0.450416667	siu	3/3/2003
2003	3	4	23.5	 	9	 	185.6	 	12.63	 	55.4	 	35.5	 	47.3	 	93.7	 	47.7	 	67.2	 	36.7	 	0.01	 	0.09	 	42	 	36.9	 	39.6	 	40.8	 	37.5	 	38.8	 													0.5025	0.44	0.465	0.44	0.459166667	0.450416667	siu	3/4/2003
2003	3	5	22.3	 	7.6	 	326.1	 	2.63	 	52.4	 	30	 	35.4	 	94.9	 	78.1	 	90	 	32.7	 	0.02	 	0.01	 	42.5	 	39	 	40.8	 	41.2	 	39.6	 	40.6	 													0.47625	0.44	0.460833333	0.44	0.46	0.450416667	siu	3/5/2003
2003	3	6	18.6	 	6.1	 	7.8	 	8.9	 	37.7	 	25.1	 	30.6	 	94.8	 	60.1	 	79.9	 	25	 	0.02	 	0.04	 	40.4	 	37.7	 	38.8	 	39.7	 	38.5	 	39	 													0.459166667	0.434583333	0.466666667	0.44	0.458333333	0.45	siu	3/6/2003
2003	3	7	16.5	 	3.7	 	185.2	 	19.87	 	57.3	 	20.1	 	37.8	 	94.5	 	42	 	75.5	 	29.7	 	0.01	 	0.13	 	43.4	 	36	 	39.4	 	40.9	 	37.6	 	39	 													0.440833333	0.43	0.402083333	0.44	0.459166667	0.450833333	siu	3/7/2003
2003	3	8	34.7	 	12.2	 	215.2	 	18.97	 	69.9	 	30	 	50.9	 	97.1	 	44.6	 	68.1	 	39.9	 	0	 	0.16	 	47.1	 	38.9	 	42.8	 	43.8	 	39.2	 	41	 													0.434583333	0.41875	0.39	0.44	0.458333333	0.450833333	siu	3/8/2003
2003	3	9	22.9	 	9	 	348.1	 	17.9	 	34	 	23.6	 	28.8	 	78.2	 	36.8	 	60.1	 	16.2	 	0.01	 	0.09	 	44.8	 	40.1	 	42.1	 	43.7	 	40.9	 	41.9	 													0.422916667	0.410416667	0.384166667	0.44	0.459166667	0.450416667	siu	3/9/2003
